BJ;EBDL;OB;PERSNR;WTT;WMM;GESCHL;GEBTT;GEBMM;GEBJJJJ;GEBLAND;WGEM;PAR;BSTAAT;FAMST;KONVFL;KONVFL_A;PAR_A;ALTER;ALT31;BERQ
2005;3;;;;5;1;;;1964;8;3;101;8;2; ; ;101;41;41;2
2005;4;;;;1;1;;;1953;8;4;160;8;2; ; ;101;51;52;1
2005;6;;;;1;1;;;1980;8;6;417;8;1;1;1;417;24;25;1
2005;8;;;;6;1;;;1964;5;8;101;14;2; ; ;101;40;41;2
2005;9;;;;3;1;;;1964;9;9;101;600;2; ; ;101;40;41;1
2005;9;;;;1;1;;;1983;9;9;101;13;1; ; ;101;21;22;1
2005;8;;;;5;1;;;1968;8;8;101;8;2; ; ;101;37;37;2
2005;7;;;;4;1;;;1959;8;7;101;8;1; ; ;101;45;46;2
2005;6;;;;2;1;;;1962;8;6;101;8;2; ; ;101;43;43;1
2005;5;;;;2;1;;;1991;1;5;711;8;1; ; ;101;13;14;1
2005;4;;;;1;1;;;1974;8;4;101;8;2; ; ;101;30;31;1
2005;9;;;;11;1;;;1989;9;0;124;312;1; ; ;124;16;16;4
2005;2;;;;12;1;;;1998;1;2;711;41;1; ; ;101;7;7;4
2005;3;;;;6;1;;;1964;5;3;101;11;2; ; ;101;41;41;2
2005;4;;;;1;1;;;1989;5;4;101;11;1; ; ;101;15;16;1
2005;7;;;;6;1;;;1984;8;7;101;8;1; ; ;101;20;21;2
2005;9;;;;1;1;;;1953;9;9;111;20;2; ; ;111;51;52;1
2005;9;;;;1;1;;;1991;1;9;416;15;1; ; ;416;14;14;1
2005;7;;;;10;1;;;1997;1;7;711;20;1; ; ;101;8;8;4
2005;3;;;;2;1;;;1988;9;3;711;46;1; ; ;111;16;17;1
2005;2;;;;9;1;;;1998;1;2;711;41;1; ; ;101;6;7;3
2005;1;;;;12;1;;;1988;5;1;711;11;1; ; ;111;17;17;4
2005;9;;;;12;1;;;1988;9;0;124;304;1; ; ;124;17;17;4
2005;3;;;;3;1;;;1970;8;3;160;8;2; ; ;101;34;35;1
2005;7;;;;4;1;;;1970;8;7;111;8;2; ; ;111;35;35;2
2005;6;;;;2;1;;;1993;8;6;711;8;1; ; ;417;11;12;1
2005;5;;;;2;1;;;1990;5;5;711;15;1; ; ;101;15;15;1
2005;7;;;;2;1;;;1965;8;7;101;8;2; ; ;101;40;40;1
2005;9;;;;4;1;;;1966;8;9;101;8;2; ; ;101;39;39;2
2005;8;;;;1;1;;;1958;5;8;101;15;2; ; ;101;46;47;1
2005;9;;;;6;1;;;2002;9;0;124;203;1; ; ;124;3;3;4
2005;2;;;;3;1;;;1993;1;2;711;8;1; ; ;101;11;12;1
2005;1;;;;12;1;;;2005;1;1;711;15;1; ; ;101;0;0;4
2005;9;;;;1;1;;;2001;1;9;711;15;1; ; ;120;3;4;1
2005;5;;;;2;1;;;1948;5;5;101;15;2; ; ;101;56;57;1
2005;4;;;;1;1;;;1941;5;4;101;15;2; ; ;101;63;64;1
2005;4;;;;1;1;;;1970;9;4;111;662;2; ; ;111;34;35;1
2005;5;;;;1;1;;;1990;9;5;712;404;1; ; ;111;14;15;1
2005;6;;;;2;1;;;1966;9;6;101;41;2; ; ;101;38;39;1
2005;1;;;;12;1;;;1988;9;1;711;41;1; ; ;111;17;17;4
2005;1;;;;12;1;;;2004;1;1;711;662;1; ; ;101;0;1;4
2005;9;;;;12;1;;;1991;9;0;124;304;1; ; ;124;14;14;4
2005;3;;;;4;1;;;1999;1;3;711;13;1; ; ;101;6;6;2
2005;5;;;;1;1;;;1979;2;5;101;8;1; ; ;101;25;26;1
2005;4;;;;1;1;;;1987;1;4;711;8;1; ; ;120;17;18;1
2005;7;;;;2;1;;;1996;1;7;711;11;1; ; ;101;8;9;1
2005;7;;;;4;1;;;1995;1;7;711;15;1; ; ;101;9;10;2
2005;6;;;;2;1;;;1964;8;6;101;8;2; ; ;101;40;41;1
2005;3;;;;2;1;;;1974;5;3;101;15;1; ; ;101;30;31;1
2005;9;;;;12;1;;;1993;9;0;124;313;1; ; ;124;12;12;4
2005;2;;;;6;1;;;1979;8;2;101;8;1; ; ;101;26;26;2
2005;1;;;;2;1;;;1989;5;1;711;15;1; ; ;101;15;16;1
2005;1;;;;12;1;;;1972;9;1;101;41;2; ; ;101;33;33;4
2005;9;;;;12;1;;;1998;1;0;711;662;1; ; ;101;7;7;4
2005;5;;;;1;1;;;1985;3;5;101;16;1; ; ;101;19;20;1
